# Region type : patch outlet
# Faces       : 248
# Area        : 3.740941e+01
# Scale factor: 1.000000e+00
# Time        	sum(phi)
0.149455      	-5.285180e+01
0.149752      	-5.295700e+01
0.15006       	-5.306645e+01
0.150363      	-5.317291e+01
0.150661      	-5.327746e+01
0.150966      	-5.338520e+01
0.15126       	-5.348815e+01
0.151543      	-5.358709e+01
0.151821      	-5.368466e+01
0.152109      	-5.378707e+01
0.152397      	-5.388936e+01
0.152679      	-5.398929e+01
0.152969      	-5.409219e+01
0.153258      	-5.419467e+01
0.153546      	-5.429646e+01
0.153846      	-5.440359e+01
0.154147      	-5.451004e+01
0.154441      	-5.461372e+01
0.154751      	-5.472393e+01
0.155056      	-5.483175e+01
0.155349      	-5.493401e+01
0.155635      	-5.503425e+01
0.155921      	-5.513523e+01
0.156184      	-5.522647e+01
0.156429      	-5.531139e+01
0.156678      	-5.539905e+01
0.156923      	-5.548568e+01
0.157175      	-5.557598e+01
0.157427      	-5.566561e+01
0.157681      	-5.575602e+01
0.157942      	-5.584899e+01
0.158214      	-5.594625e+01
0.158494      	-5.604600e+01
0.158781      	-5.614789e+01
0.159081      	-5.625437e+01
0.159374      	-5.635696e+01
0.15965       	-5.645256e+01
0.159931      	-5.655107e+01
0.160202      	-5.664562e+01
0.160469      	-5.673938e+01
0.160748      	-5.683811e+01
0.16103       	-5.693851e+01
0.161314      	-5.703885e+01
0.161617      	-5.714722e+01
0.16192       	-5.725471e+01
0.162216      	-5.735870e+01
0.162515      	-5.746418e+01
0.162795      	-5.756169e+01
0.163053      	-5.765119e+01
0.163305      	-5.773886e+01
0.163538      	-5.781990e+01
0.163784      	-5.790799e+01
0.164033      	-5.799730e+01
0.164284      	-5.808729e+01
0.164555      	-5.818529e+01
0.164836      	-5.828670e+01
0.165127      	-5.839051e+01
0.165428      	-5.849790e+01
0.165722      	-5.860110e+01
0.166009      	-5.870122e+01
0.166298      	-5.880253e+01
0.166572      	-5.889821e+01
0.166832      	-5.898823e+01
0.1671        	-5.908307e+01
0.167362      	-5.917558e+01
0.167619      	-5.926610e+01
0.167884      	-5.936034e+01
0.168149      	-5.945439e+01
0.168413      	-5.954791e+01
0.168687      	-5.964528e+01
0.168956      	-5.974058e+01
0.169223      	-5.983452e+01
0.169494      	-5.993059e+01
0.169783      	-6.003390e+01
0.170072      	-6.013649e+01
0.170354      	-6.023526e+01
0.170633      	-6.033304e+01
0.170911      	-6.043102e+01
0.171188      	-6.052837e+01
0.171486      	-6.063479e+01
0.17177       	-6.073472e+01
0.172039      	-6.082834e+01
0.172305      	-6.092137e+01
0.172578      	-6.101793e+01
0.172859      	-6.111822e+01
0.173146      	-6.122056e+01
0.173465      	-6.133562e+01
0.173785      	-6.144923e+01
0.1741        	-6.155950e+01
0.174408      	-6.166716e+01
0.174705      	-6.177094e+01
0.175007      	-6.187701e+01
0.175318      	-6.198753e+01
0.175612      	-6.209058e+01
0.175892      	-6.218791e+01
0.176139      	-6.227247e+01
0.17637       	-6.235207e+01
0.176616      	-6.243986e+01
0.17686       	-6.252691e+01
0.177107      	-6.261565e+01
0.177362      	-6.270689e+01
0.177628      	-6.280285e+01
0.177893      	-6.289701e+01
0.178161      	-6.299201e+01
0.17844       	-6.309094e+01
0.178716      	-6.318820e+01
0.178986      	-6.328261e+01
0.179261      	-6.337907e+01
0.179527      	-6.347188e+01
0.179791      	-6.356442e+01
0.180059      	-6.365877e+01
0.180341      	-6.375921e+01
0.18062       	-6.385759e+01
0.180895      	-6.395389e+01
0.181174      	-6.405211e+01
0.181441      	-6.414545e+01
0.181699      	-6.423533e+01
0.181962      	-6.432801e+01
0.182223      	-6.442003e+01
0.182479      	-6.451022e+01
0.182739      	-6.460246e+01
0.183007      	-6.469822e+01
0.183292      	-6.480036e+01
0.183582      	-6.490388e+01
0.183875      	-6.500738e+01
0.184163      	-6.510889e+01
0.184455      	-6.521161e+01
0.184745      	-6.531374e+01
0.185042      	-6.541885e+01
0.185328      	-6.551901e+01
0.185604      	-6.561537e+01
0.185889      	-6.571665e+01
0.186169      	-6.581541e+01
0.186445      	-6.591276e+01
0.186723      	-6.601135e+01
0.18701       	-6.611352e+01
0.18729       	-6.621257e+01
0.187568      	-6.631055e+01
0.187854      	-6.641232e+01
0.188159      	-6.652170e+01
0.188463      	-6.662914e+01
0.188754      	-6.673127e+01
0.189043      	-6.683267e+01
0.189314      	-6.692660e+01
0.189569      	-6.701490e+01
0.189818      	-6.710177e+01
0.190069      	-6.719072e+01
0.190333      	-6.728566e+01
0.1906        	-6.738089e+01
0.190866      	-6.747537e+01
0.191142      	-6.757372e+01
0.191421      	-6.767288e+01
0.191701      	-6.777189e+01
0.191994      	-6.787581e+01
0.192284      	-6.797819e+01
0.19256       	-6.807384e+01
0.19283       	-6.816796e+01
0.193081      	-6.825466e+01
0.19332       	-6.833764e+01
0.193571      	-6.842654e+01
0.193819      	-6.851461e+01
0.194065      	-6.860201e+01
0.194313      	-6.868993e+01
0.194567      	-6.878050e+01
0.194824      	-6.887236e+01
0.195103      	-6.897260e+01
0.195382      	-6.907187e+01
0.195649      	-6.916522e+01
0.195917      	-6.925910e+01
0.196175      	-6.934920e+01
0.19643       	-6.943822e+01
0.196684      	-6.952809e+01
0.196953      	-6.962416e+01
0.197223      	-6.972027e+01
0.197487      	-6.981313e+01
0.197746      	-6.990412e+01
0.198005      	-6.999533e+01
0.198261      	-7.008525e+01
0.198531      	-7.018208e+01
0.198803      	-7.027850e+01
0.199068      	-7.037201e+01
0.199333      	-7.046516e+01
0.199607      	-7.056293e+01
0.199876      	-7.065772e+01
0.20014       	-7.075016e+01
0.200416      	-7.084837e+01
0.200687      	-7.094430e+01
0.200954      	-7.103808e+01
0.201227      	-7.113466e+01
0.201489      	-7.122647e+01
0.201737      	-7.131284e+01
0.201983      	-7.139901e+01
0.202239      	-7.149014e+01
0.202493      	-7.158021e+01
0.202745      	-7.166947e+01
0.202998      	-7.175901e+01
0.203262      	-7.185329e+01
0.203526      	-7.194691e+01
0.20379       	-7.203966e+01
0.204052      	-7.213183e+01
0.204314      	-7.222402e+01
0.204583      	-7.231937e+01
0.20487       	-7.242175e+01
0.205159      	-7.252398e+01
0.205434      	-7.261998e+01
0.205708      	-7.271544e+01
0.205971      	-7.280658e+01
0.206229      	-7.289654e+01
0.206495      	-7.299061e+01
0.206758      	-7.308335e+01
0.207019      	-7.317559e+01
0.207286      	-7.327002e+01
0.207554      	-7.336484e+01
0.207814      	-7.345593e+01
0.208078      	-7.354904e+01
0.208334      	-7.363905e+01
0.208576      	-7.372280e+01
0.208817      	-7.380726e+01
0.20905       	-7.388893e+01
0.209281      	-7.396986e+01
0.209518      	-7.405437e+01
0.209756      	-7.413899e+01
0.209991      	-7.422239e+01
0.210224      	-7.430434e+01
0.210464      	-7.438954e+01
