# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.00121031    	p_rgh         	5.759202e+04	(2.948526e+00 -1.696456e+00 2.594846e+00)	3	1.928557e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00124473    	p_rgh         	5.678230e+04	(3.429471e+00 5.449527e-01 2.590741e+00)	3	1.865719e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00127865    	p_rgh         	5.582270e+04	(3.429471e+00 5.449527e-01 2.590741e+00)	3	1.791386e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00131212    	p_rgh         	5.626578e+04	(3.429471e+00 5.449527e-01 2.590741e+00)	3	1.707602e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00134514    	p_rgh         	5.553817e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	1.616288e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00137774    	p_rgh         	5.440652e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	1.519208e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00140991    	p_rgh         	5.317105e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	1.417950e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00144168    	p_rgh         	5.189649e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	1.410350e+05	(3.370854e+00 -9.357003e-01 2.720992e+00)	3
0.00147304    	p_rgh         	5.063940e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	1.416646e+05	(3.370854e+00 -9.357003e-01 2.720992e+00)	3
0.00150399    	p_rgh         	4.948108e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	1.420580e+05	(3.370854e+00 -9.357003e-01 2.720992e+00)	3
0.00153454    	p_rgh         	4.849728e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	1.423833e+05	(3.370866e+00 -9.356553e-01 2.594832e+00)	3
0.0015647     	p_rgh         	4.775221e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	1.425633e+05	(3.370866e+00 -9.356553e-01 2.594832e+00)	3
0.00159446    	p_rgh         	4.729225e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	1.425118e+05	(3.370866e+00 -9.356553e-01 2.594832e+00)	3
0.00162384    	p_rgh         	4.580022e+04	(3.308362e+00 1.047439e+00 2.467218e+00)	3	1.422400e+05	(3.370866e+00 -9.356553e-01 2.594832e+00)	3
0.00165284    	p_rgh         	3.659509e+04	(3.308362e+00 1.047439e+00 2.467218e+00)	3	1.423592e+05	(3.450948e+00 5.691353e-01 2.346124e+00)	3
0.00168148    	p_rgh         	2.843700e+04	(3.308362e+00 1.047439e+00 2.467218e+00)	3	1.467936e+05	(3.450948e+00 5.691353e-01 2.346124e+00)	3
0.00170976    	p_rgh         	2.198257e+04	(3.308362e+00 1.047439e+00 2.467218e+00)	3	1.506488e+05	(3.450948e+00 5.691353e-01 2.346124e+00)	3
0.00173769    	p_rgh         	1.723531e+04	(3.308362e+00 1.047439e+00 2.467218e+00)	3	1.539146e+05	(3.450948e+00 5.691353e-01 2.346124e+00)	3
0.0017653     	p_rgh         	1.395581e+04	(3.308362e+00 1.047439e+00 2.467218e+00)	3	1.566037e+05	(3.450948e+00 5.691353e-01 2.346124e+00)	3
0.00179258    	p_rgh         	1.192796e+04	(3.308362e+00 1.047439e+00 2.467218e+00)	3	1.587844e+05	(3.450948e+00 5.691364e-01 2.465238e+00)	3
0.00181956    	p_rgh         	1.100869e+04	(3.308362e+00 1.047439e+00 2.467218e+00)	3	1.605511e+05	(3.450948e+00 5.691364e-01 2.465238e+00)	3
0.00184625    	p_rgh         	1.111593e+04	(3.308362e+00 1.047439e+00 2.467218e+00)	3	1.618674e+05	(3.450948e+00 5.691364e-01 2.465238e+00)	3
0.00187265    	p_rgh         	1.220977e+04	(3.308362e+00 -1.047439e+00 2.467218e+00)	3	1.627825e+05	(3.450948e+00 5.691364e-01 2.465238e+00)	3
0.00189878    	p_rgh         	1.427836e+04	(3.308362e+00 -1.047439e+00 2.467218e+00)	3	1.633424e+05	(3.450948e+00 5.691364e-01 2.465238e+00)	3
0.00192465    	p_rgh         	1.732824e+04	(3.308362e+00 -1.047439e+00 2.467218e+00)	3	1.635353e+05	(3.450948e+00 5.691364e-01 2.465238e+00)	3
0.00195026    	p_rgh         	2.137247e+04	(3.308362e+00 -1.047439e+00 2.467218e+00)	3	1.633993e+05	(3.450948e+00 5.691364e-01 2.465238e+00)	3
0.00197564    	p_rgh         	2.642521e+04	(3.308362e+00 -1.047439e+00 2.467218e+00)	3	1.629884e+05	(3.450948e+00 5.691364e-01 2.465238e+00)	3
0.00200078    	p_rgh         	3.249581e+04	(3.308362e+00 -1.047439e+00 2.467218e+00)	3	1.623606e+05	(3.450948e+00 5.691364e-01 2.465238e+00)	3
0.0020257     	p_rgh         	3.958888e+04	(3.308362e+00 -1.047439e+00 2.467218e+00)	3	1.616149e+05	(3.450948e+00 5.691364e-01 2.465238e+00)	3
0.0020504     	p_rgh         	4.549091e+04	(3.323812e+00 6.265758e-02 2.594838e+00)	3	1.607733e+05	(3.450948e+00 5.691364e-01 2.465238e+00)	3
0.00207489    	p_rgh         	4.573853e+04	(3.323812e+00 6.265758e-02 2.594838e+00)	3	1.598389e+05	(3.450948e+00 5.691364e-01 2.465238e+00)	3
0.00209919    	p_rgh         	4.602195e+04	(3.323812e+00 6.265758e-02 2.594838e+00)	3	1.588142e+05	(3.450948e+00 5.691364e-01 2.465238e+00)	3
0.00212328    	p_rgh         	4.633817e+04	(3.323812e+00 6.265758e-02 2.594838e+00)	3	1.577022e+05	(3.450948e+00 5.691364e-01 2.465238e+00)	3
0.0021472     	p_rgh         	4.668326e+04	(3.323812e+00 6.265758e-02 2.594838e+00)	3	1.565056e+05	(3.450948e+00 5.691364e-01 2.465238e+00)	3
0.00217093    	p_rgh         	4.705344e+04	(3.323812e+00 6.265758e-02 2.594838e+00)	3	1.552275e+05	(3.450948e+00 5.691364e-01 2.465238e+00)	3
0.00219449    	p_rgh         	4.744505e+04	(3.323812e+00 6.265758e-02 2.594838e+00)	3	1.538714e+05	(3.450948e+00 5.691364e-01 2.465238e+00)	3
0.00221788    	p_rgh         	4.785463e+04	(3.323812e+00 6.265758e-02 2.594838e+00)	3	1.599365e+05	(3.330778e+00 -1.068746e+00 2.345253e+00)	3
0.00224111    	p_rgh         	4.827914e+04	(3.323812e+00 6.265758e-02 2.594838e+00)	3	1.727591e+05	(3.330778e+00 -1.068746e+00 2.345253e+00)	3
0.00226419    	p_rgh         	4.871747e+04	(3.323812e+00 6.265758e-02 2.594838e+00)	3	1.854113e+05	(3.330778e+00 -1.068746e+00 2.345253e+00)	3
0.00228713    	p_rgh         	4.916609e+04	(3.323812e+00 6.265758e-02 2.594838e+00)	3	1.977026e+05	(3.330778e+00 -1.068746e+00 2.345253e+00)	3
0.00230992    	p_rgh         	4.962192e+04	(3.323812e+00 6.265758e-02 2.594838e+00)	3	2.094455e+05	(3.330778e+00 -1.068746e+00 2.345253e+00)	3
0.00233257    	p_rgh         	5.008215e+04	(3.323812e+00 6.265758e-02 2.594838e+00)	3	2.204615e+05	(3.330778e+00 -1.068746e+00 2.345253e+00)	3
0.0023551     	p_rgh         	5.054367e+04	(3.323812e+00 -6.265146e-02 2.594838e+00)	3	2.305888e+05	(3.330778e+00 -1.068746e+00 2.345253e+00)	3
0.0023775     	p_rgh         	5.100411e+04	(3.323812e+00 -6.265146e-02 2.594838e+00)	3	2.396874e+05	(3.330778e+00 -1.068746e+00 2.345253e+00)	3
0.00239978    	p_rgh         	5.146167e+04	(3.323812e+00 -6.265146e-02 2.594838e+00)	3	2.476442e+05	(3.330778e+00 -1.068746e+00 2.345253e+00)	3
0.00242195    	p_rgh         	5.191427e+04	(3.323812e+00 -6.265146e-02 2.594838e+00)	3	2.543761e+05	(3.330778e+00 -1.068746e+00 2.345253e+00)	3
0.00244401    	p_rgh         	5.236000e+04	(3.323812e+00 -6.265146e-02 2.594838e+00)	3	2.607496e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00246597    	p_rgh         	5.239828e+04	(3.321677e+00 1.878382e-01 2.216527e+00)	3	2.662607e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00248782    	p_rgh         	5.208597e+04	(3.321677e+00 1.878382e-01 2.216527e+00)	3	2.704829e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00250959    	p_rgh         	5.174389e+04	(3.321677e+00 1.878382e-01 2.216527e+00)	3	2.734311e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00253126    	p_rgh         	5.137251e+04	(3.321677e+00 1.878382e-01 2.216527e+00)	3	2.751427e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00255284    	p_rgh         	5.029335e+04	(3.320043e+00 -9.373158e-01 2.594752e+00)	3	2.756743e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00257434    	p_rgh         	4.901271e+04	(3.320043e+00 -9.373158e-01 2.594752e+00)	3	2.750976e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00259573    	p_rgh         	4.781470e+04	(3.320043e+00 -9.373158e-01 2.594752e+00)	3	2.734997e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00261696    	p_rgh         	4.670219e+04	(3.320043e+00 -9.373158e-01 2.594752e+00)	3	2.709862e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00263785    	p_rgh         	4.568117e+04	(3.320043e+00 -9.373158e-01 2.594752e+00)	3	2.677062e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00265817    	p_rgh         	4.475554e+04	(3.320043e+00 -9.373158e-01 2.594752e+00)	3	2.638382e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00267793    	p_rgh         	4.391757e+04	(3.320043e+00 -9.373158e-01 2.594752e+00)	3	2.593918e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00269717    	p_rgh         	4.316069e+04	(3.320043e+00 -9.373158e-01 2.594752e+00)	3	2.544496e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00271591    	p_rgh         	4.247904e+04	(3.320043e+00 -9.373158e-01 2.594752e+00)	3	2.491384e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00273416    	p_rgh         	4.186821e+04	(3.320043e+00 -9.373158e-01 2.594752e+00)	3	2.435917e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00275194    	p_rgh         	4.132243e+04	(3.320043e+00 -9.373158e-01 2.594752e+00)	3	2.380117e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00276922    	p_rgh         	4.083751e+04	(3.320043e+00 -9.373158e-01 2.594752e+00)	3	2.324645e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00278596    	p_rgh         	4.040876e+04	(3.320043e+00 -9.373158e-01 2.594752e+00)	3	2.269906e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00280217    	p_rgh         	4.003070e+04	(3.320043e+00 -9.373158e-01 2.594752e+00)	3	2.216113e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00281785    	p_rgh         	3.969823e+04	(3.320043e+00 -9.373158e-01 2.594752e+00)	3	2.163284e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.002833      	p_rgh         	3.940654e+04	(3.320043e+00 -9.373158e-01 2.594752e+00)	3	2.111639e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00284763    	p_rgh         	3.915108e+04	(3.320043e+00 -9.373158e-01 2.594752e+00)	3	2.061341e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
