# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.00441809    	p_rgh         	7.731249e+04	(2.803968e+00 -1.777414e+00 2.782359e+00)	2	1.733125e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00451629    	p_rgh         	7.442789e+04	(2.803968e+00 -1.777414e+00 2.782359e+00)	2	1.740419e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00461409    	p_rgh         	8.335643e+04	(3.159848e+00 -1.178610e+00 2.785849e+00)	2	1.808019e+05	(3.414755e+00 7.337248e-01 2.302111e+00)	2
0.00471197    	p_rgh         	8.481644e+04	(3.159848e+00 -1.178610e+00 2.785849e+00)	2	1.766087e+05	(3.414755e+00 7.337248e-01 2.302111e+00)	2
0.0048101     	p_rgh         	8.435169e+04	(3.072274e+00 -1.670785e+00 1.925902e+00)	2	1.743720e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00490866    	p_rgh         	7.714697e+04	(2.803905e+00 -1.777986e+00 2.285874e+00)	2	1.799230e+05	(3.414755e+00 -7.337248e-01 2.302111e+00)	2
0.00500789    	p_rgh         	7.462355e+04	(2.803905e+00 -1.777986e+00 2.285874e+00)	2	1.759924e+05	(3.414755e+00 -7.337248e-01 2.302111e+00)	2
0.00510876    	p_rgh         	7.435770e+04	(2.803908e+00 1.778009e+00 2.285864e+00)	2	1.796259e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00521119    	p_rgh         	7.699302e+04	(2.803908e+00 1.778009e+00 2.285864e+00)	2	1.897636e+05	(1.894008e+00 -2.919514e+00 2.790733e+00)	2
0.00531549    	p_rgh         	7.063306e+04	(2.341393e+00 -2.334736e+00 2.780798e+00)	2	1.862167e+05	(1.894008e+00 -2.919514e+00 2.790733e+00)	2
0.00542665    	p_rgh         	8.049101e+04	(2.803999e+00 1.777504e+00 2.782337e+00)	2	1.829508e+05	(3.236688e+00 -1.265132e+00 2.788735e+00)	2
0.00553709    	p_rgh         	7.990341e+04	(2.803999e+00 1.777504e+00 2.782337e+00)	2	1.806247e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00564726    	p_rgh         	8.079081e+04	(2.803999e+00 1.777504e+00 2.782337e+00)	2	1.782721e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00575579    	p_rgh         	8.228994e+04	(2.803999e+00 1.777504e+00 2.782337e+00)	2	1.872425e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.00586184    	p_rgh         	7.845611e+04	(2.341393e+00 -2.334736e+00 2.780798e+00)	2	1.903821e+05	(3.245149e+00 1.271176e+00 2.309452e+00)	2
0.00596607    	p_rgh         	7.726833e+04	(1.183259e+00 3.164298e+00 2.787026e+00)	2	1.846710e+05	(3.245149e+00 1.271176e+00 2.309452e+00)	2
0.00606877    	p_rgh         	7.336890e+04	(1.183259e+00 3.164298e+00 2.787026e+00)	2	2.026999e+05	(3.482149e+00 2.510357e-01 2.307698e+00)	2
0.00617033    	p_rgh         	7.291640e+04	(1.183259e+00 3.164298e+00 2.787026e+00)	2	1.974171e+05	(3.482149e+00 2.510357e-01 2.307698e+00)	2
0.00627102    	p_rgh         	7.457623e+04	(3.206782e+00 7.344984e-01 2.283070e+00)	2	1.912670e+05	(3.482149e+00 2.510357e-01 2.307698e+00)	2
0.00637109    	p_rgh         	7.893587e+04	(3.206782e+00 7.344984e-01 2.283070e+00)	2	1.850176e+05	(3.482149e+00 2.510357e-01 2.307698e+00)	2
0.00646939    	p_rgh         	7.671823e+04	(3.206782e+00 7.344984e-01 2.283070e+00)	2	1.784616e+05	(3.482149e+00 2.510357e-01 2.307698e+00)	2
0.00656337    	p_rgh         	7.716015e+04	(3.206769e+00 -7.344414e-01 2.283076e+00)	2	1.724026e+05	(3.482149e+00 2.510357e-01 2.307698e+00)	2
0.00665229    	p_rgh         	7.734083e+04	(1.784603e+00 -2.803374e+00 2.783466e+00)	2	1.811829e+05	(2.050118e+00 2.830640e+00 2.314093e+00)	2
0.00673597    	p_rgh         	7.203782e+04	(1.784603e+00 -2.803374e+00 2.783466e+00)	2	1.890811e+05	(2.920138e+00 1.886509e+00 2.789961e+00)	2
0.00681822    	p_rgh         	6.719804e+04	(1.784603e+00 -2.803374e+00 2.783466e+00)	2	1.885183e+05	(2.920138e+00 1.886509e+00 2.789961e+00)	2
0.00689543    	p_rgh         	6.588999e+04	(1.784532e+00 2.803368e+00 2.783478e+00)	2	1.873916e+05	(2.920138e+00 1.886509e+00 2.789961e+00)	2
0.00696717    	p_rgh         	6.731043e+04	(1.784603e+00 -2.803374e+00 2.783466e+00)	2	1.858509e+05	(2.920138e+00 1.886509e+00 2.789961e+00)	2
0.00703709    	p_rgh         	6.986473e+04	(2.331213e+00 -2.329446e+00 2.291393e+00)	2	1.840000e+05	(2.920138e+00 1.886509e+00 2.789961e+00)	2
0.00710256    	p_rgh         	6.798878e+04	(2.331213e+00 -2.329446e+00 2.291393e+00)	2	1.820597e+05	(2.920138e+00 1.886509e+00 2.789961e+00)	2
0.00716815    	p_rgh         	6.651629e+04	(2.331213e+00 -2.329446e+00 2.291393e+00)	2	1.805996e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00723135    	p_rgh         	6.551280e+04	(2.331213e+00 -2.329446e+00 2.291393e+00)	2	1.800156e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00729248    	p_rgh         	6.489864e+04	(2.331213e+00 -2.329446e+00 2.291393e+00)	2	1.792106e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.0073539     	p_rgh         	6.470179e+04	(2.331213e+00 -2.329446e+00 2.291393e+00)	2	1.780386e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00741325    	p_rgh         	6.480097e+04	(2.331213e+00 -2.329446e+00 2.291393e+00)	2	1.769937e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00747171    	p_rgh         	6.512203e+04	(2.331213e+00 -2.329446e+00 2.291393e+00)	2	1.761706e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00753109    	p_rgh         	6.562958e+04	(2.331213e+00 -2.329446e+00 2.291393e+00)	2	1.752453e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00759002    	p_rgh         	6.482637e+04	(1.784532e+00 2.803368e+00 2.783478e+00)	2	1.741636e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00764839    	p_rgh         	6.702533e+04	(2.331213e+00 -2.329446e+00 2.291393e+00)	2	1.728096e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00770774    	p_rgh         	6.788220e+04	(2.331213e+00 -2.329446e+00 2.291393e+00)	2	1.725586e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.0077659     	p_rgh         	6.880578e+04	(2.331213e+00 -2.329446e+00 2.291393e+00)	2	1.750729e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00782282    	p_rgh         	6.977798e+04	(2.331213e+00 -2.329446e+00 2.291393e+00)	2	1.737492e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00788033    	p_rgh         	6.680220e+04	(1.779448e+00 2.803230e+00 2.285817e+00)	2	1.736583e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00793723    	p_rgh         	6.374167e+04	(1.779448e+00 2.803230e+00 2.285817e+00)	2	1.739790e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00799303    	p_rgh         	6.106641e+04	(1.779448e+00 2.803230e+00 2.285817e+00)	2	1.740618e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00804917    	p_rgh         	5.875949e+04	(1.779448e+00 2.803230e+00 2.285817e+00)	2	1.737134e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00810475    	p_rgh         	5.690080e+04	(1.779448e+00 2.803230e+00 2.285817e+00)	2	1.734708e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00815988    	p_rgh         	5.553336e+04	(1.779448e+00 2.803230e+00 2.285817e+00)	2	1.729474e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.0082147     	p_rgh         	5.468359e+04	(1.779448e+00 2.803230e+00 2.285817e+00)	2	1.723584e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00826849    	p_rgh         	5.432924e+04	(1.779448e+00 2.803230e+00 2.285817e+00)	2	1.823746e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00832152    	p_rgh         	5.439756e+04	(1.779448e+00 2.803230e+00 2.285817e+00)	2	1.804072e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00837407    	p_rgh         	5.473224e+04	(1.779448e+00 2.803230e+00 2.285817e+00)	2	1.783632e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00842633    	p_rgh         	5.412954e+04	(1.779466e+00 -2.803227e+00 2.285810e+00)	2	1.763675e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00847886    	p_rgh         	5.393879e+04	(1.779466e+00 -2.803227e+00 2.285810e+00)	2	1.742861e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00853099    	p_rgh         	5.407549e+04	(1.779466e+00 -2.803227e+00 2.285810e+00)	2	1.726097e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00858276    	p_rgh         	5.443693e+04	(1.779466e+00 -2.803227e+00 2.285810e+00)	2	1.714905e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00863415    	p_rgh         	5.495040e+04	(1.779466e+00 -2.803227e+00 2.285810e+00)	2	1.703534e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.0086852     	p_rgh         	5.557229e+04	(1.779466e+00 -2.803227e+00 2.285810e+00)	2	1.691787e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00873661    	p_rgh         	5.628911e+04	(1.779466e+00 -2.803227e+00 2.285810e+00)	2	1.782637e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00878782    	p_rgh         	5.706631e+04	(1.779466e+00 -2.803227e+00 2.285810e+00)	2	1.768484e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00883862    	p_rgh         	5.789320e+04	(1.779466e+00 -2.803227e+00 2.285810e+00)	2	1.754208e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00888911    	p_rgh         	5.877710e+04	(1.779466e+00 -2.803227e+00 2.285810e+00)	2	1.739506e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00893927    	p_rgh         	5.971285e+04	(1.779466e+00 -2.803227e+00 2.285810e+00)	2	1.724735e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00898926    	p_rgh         	6.069997e+04	(1.779466e+00 -2.803227e+00 2.285810e+00)	2	1.709693e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00903974    	p_rgh         	6.175438e+04	(1.779466e+00 -2.803227e+00 2.285810e+00)	2	1.694549e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.00909028    	p_rgh         	6.286480e+04	(1.779466e+00 -2.803227e+00 2.285810e+00)	2	2.334561e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00914053    	p_rgh         	6.401869e+04	(1.779466e+00 -2.803227e+00 2.285810e+00)	2	2.299512e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00919062    	p_rgh         	6.521902e+04	(1.779466e+00 -2.803227e+00 2.285810e+00)	2	2.262919e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00924053    	p_rgh         	6.602282e+04	(1.998835e+00 -2.521037e+00 2.410979e+00)	2	2.225972e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00929113    	p_rgh         	6.684836e+04	(1.998835e+00 -2.521037e+00 2.410979e+00)	2	2.188641e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00934186    	p_rgh         	6.777986e+04	(1.998835e+00 -2.521037e+00 2.410979e+00)	2	2.153049e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00939254    	p_rgh         	6.880871e+04	(1.998835e+00 -2.521037e+00 2.410979e+00)	2	2.117808e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00944334    	p_rgh         	6.993313e+04	(1.998835e+00 -2.521037e+00 2.410979e+00)	2	2.083526e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.00949423    	p_rgh         	7.115179e+04	(1.998835e+00 -2.521037e+00 2.410979e+00)	2	2.051159e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
